ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
86,PUTUMAYO,86573,PUERTO LEGUIZAMO,86573000,PUERTO LEGUIZAMO (PUERTO LEGUIZAMO - PUTUMAYO),2020,01,"934,496","349,112.5","2,149.84",Martes,01/28/2020 07:30:00 PM,23.57
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109028,PUERTO MERIZALDE (BUENAVENTURA - VALLE DEL CAUCA),2020,01,"43,466","13,885.52",254.14,Sábado,01/18/2020 07:30:00 PM,6.29
91,AMAZONAS,91540,PUERTO NARIÑO,91540000,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2020,01,"103,897","36,304.49",227.04,Miércoles,01/22/2020 07:15:00 PM,24
19,CAUCA,19809,TIMBIQUI,19809023,PUERTO SAIJA (TIMBIQUÍ - CAUCA),2020,01,"30,165","10,630.49",168.08,Domingo,01/19/2020 07:15:00 PM,7.5
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,18150001,REMOLINO DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ),2020,01,"15,966","7,544.17",87.13,Sábado,01/25/2020 06:45:00 PM,8.6
88,ARCHIPIELAGO DE SAN ANDRES,88001,SAN ANDRES,88001000,SAN ANDRÉS (SAN ANDRÉS - ARCHIPIÉLAGO DE SAN ANDRÉS),2020,01,"16,666,323","4,824,581","28,619.27",Viernes,01/03/2020 03:45:00 PM,24
19,CAUCA,19418,LOPEZ (MICAY),19418012,SAN ANTONIO DE CHUARE (LÓPEZ (MICAY) - CAUCA),2020,01,"6,552","1,860.59",60.74,Lunes,01/27/2020 07:15:00 PM,4.39
05,ANTIOQUIA,05873,VIGIA DEL FUERTE,05873001,SAN ANTONIO DE PADUA (VIGÍA DEL FUERTE - ANTIOQUIA),2020,01,"5,617","1,381.4",53.66,Jueves,01/23/2020 07:45:00 PM,4.13
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109032,SAN FRANCISCO DE NAYA (BUENAVENTURA - VALLE DEL CAUCA),2020,01,"6,560","2,113.22",36.58,Viernes,01/10/2020 09:15:00 PM,7
52,NARINO,52250,EL CHARCO,52250007,SAN JOSÉ (EL CHARCO - NARIÑO),2020,01,"13,262","3,324",96,Jueves,01/30/2020 08:00:00 PM,5.4
19,CAUCA,19809,TIMBIQUI,19809007,SAN JOSÉ (TIMBIQUÍ - CAUCA),2020,01,"6,346","3,460.51",45.53,Sábado,01/25/2020 08:30:00 PM,5.46
52,NARINO,52490,OLAYA HERRERA,52490008,SAN JOSÉ CALABAZAL (OLAYA HERRERA - NARIÑO),2020,01,"5,320","1,723",44.57,Sábado,01/11/2020 07:00:00 PM,4.3
52,NARINO,52835,TUMACO,52835902,SAN JUAN COSTA (TUMACO - NARIÑO),2020,01,"19,090","9,320.8",153.6,Martes,01/14/2020 07:15:00 PM,5.54
52,NARINO,52390,LA TOLA,52390016,SAN PABLO DE LA MAR (LA TOLA - NARIÑO),2020,01,"4,497",804.9,35.42,Domingo,01/19/2020 07:00:00 PM,5.34
13,BOLIVAR,13001,CARTAGENA,13001901,SANTA CRUZ DEL ISLOTE (CARTAGENA - BOLÍVAR),2020,01,"13,187","4,522.6",50.18,Sábado,01/11/2020 10:15:00 PM,12.23
